time,open,high,low,close,Volume
1729710600,152.11,152.11,151.67,151.77,29584
1729710900,151.78,152.14,151.78,152.09,26204
1729711200,152.07,152.45,151.97,152.44,37135
1729711500,152.43,152.72,152.31,152.45,50075
1729711800,152.43,152.45,152.05,152.18,31619
1729712100,152.18,152.54,152.18,152.54,38406
1729712400,152.54,152.85,152.46,152.81,47911
1729712700,152.84,152.85,152.51,152.73,31107
1729713000,152.74,153.04,152.69,152.72,72705
1729713300,152.74,153.02,152.64,152.91,84107
1729776600,154.75,155.17,154.08,154.61,145158
1729776900,154.58,155.09,154.5,154.63,108990
1729777200,154.66,154.72,153.85,154.72,87166
1729777500,154.69,154.84,153.98,154.35,73209
1729777800,154.36,154.73,154.25,154.43,54091
1729778100,154.47,154.48,153.88,154.13,42723
1729778400,154.08,154.35,153.72,153.9,95949
1729778700,153.93,154.02,153.47,153.95,67411
1729779000,153.91,154.3,153.9,154.11,46070
1729779300,154.18,154.52,154.16,154.26,52731
1729779600,154.29,154.48,154.13,154.48,40725
1729779900,154.46,154.58,153.72,153.72,47006
1729780200,153.8,154.25,153.78,154.19,46584
1729780500,154.15,154.22,153.98,154.06,11877
1729780800,154.05,154.06,153.72,153.73,26713
1729781100,153.74,153.82,153.46,153.56,45924
1729781400,153.57,153.72,153.3,153.4,61295
1729781700,153.38,153.46,153.25,153.32,23103
1729782000,153.38,153.75,153.33,153.67,50609
1729782300,153.65,153.7,153.33,153.7,36514
1729782600,153.69,154.04,153.67,153.97,36230
1729782900,153.95,154.09,153.9,154.04,26233
1729783200,154.02,154.03,153.5,153.65,34325
1729783500,153.68,153.7,153.47,153.55,18628
1729783800,153.5,153.6,153.44,153.55,16719
1729784100,153.51,153.57,153.04,153.1,36242
1729784400,153.11,153.28,152.96,153,50410
1729784700,153,153.07,152.46,152.52,58787
1729785000,152.5,152.84,152.47,152.83,32611
1729785300,152.83,153.06,152.76,153.04,22680
1729785600,153.02,153.08,152.72,152.86,25004
1729785900,152.84,152.88,152.5,152.65,24221
1729786200,152.68,152.69,152.35,152.48,25367
1729786500,152.52,152.61,152.42,152.61,8800
1729786800,152.62,152.84,152.49,152.81,20570
1729787100,152.82,153,152.79,152.95,22833
1729787400,152.97,153.22,152.97,153.14,20880
1729787700,153.17,153.21,153.04,153.11,31161
1729788000,153.12,153.21,153.08,153.15,11079
1729788300,153.17,153.26,153.07,153.26,26138
1729788600,153.26,153.32,152.96,153.05,17782
1729788900,153.04,153.12,152.97,153,7611
1729789200,152.96,153.41,152.94,153.41,25068
1729789500,153.37,153.51,153.28,153.32,26991
1729789800,153.33,153.42,153.25,153.25,6116
1729790100,153.27,153.28,153,153.26,31426
1729790400,153.23,153.23,153.07,153.07,8705
1729790700,153.09,153.17,152.99,153.12,19741
1729791000,153.13,153.27,153.09,153.22,4219
1729791300,153.23,153.39,153.21,153.37,14840
1729791600,153.37,153.55,153.32,153.49,35194
1729791900,153.5,153.51,153.09,153.16,17385
1729792200,153.18,153.26,153.12,153.16,9961
1729792500,153.21,153.28,152.96,153.09,30661
1729792800,153.11,153.24,152.9,153.21,14312
1729793100,153.24,153.37,153.21,153.24,12538
1729793400,153.28,153.44,153.22,153.42,21007
1729793700,153.43,153.47,153.32,153.41,11481
1729794000,153.4,153.54,153.4,153.45,16735
1729794300,153.45,153.5,153.18,153.29,13720
1729794600,153.31,153.33,153.19,153.19,7252
1729794900,153.21,153.29,153.08,153.22,24054
1729795200,153.21,153.32,153.12,153.32,13392
1729795500,153.31,153.33,153.24,153.3,10296
1729795800,153.32,153.43,153.26,153.43,16985
1729796100,153.44,153.6,153.41,153.6,34048
1729796400,153.6,153.6,153.33,153.33,13047
1729796700,153.33,153.62,153.25,153.56,24431
1729797000,153.56,153.76,153.53,153.69,20788
1729797300,153.69,153.72,153.57,153.72,15199
1729797600,153.73,153.84,153.72,153.74,25127
1729797900,153.74,153.92,153.72,153.81,27051
1729798200,153.81,153.99,153.77,153.93,31782
1729798500,153.93,154.02,153.85,153.87,29794
1729798800,153.86,153.86,153.595,153.63,25151
1729799100,153.64,153.84,153.62,153.84,16621
1729799400,153.81,153.9,153.41,153.59,49946
1729799700,153.6,153.71,153.32,153.38,119371
1729863000,155.39,156.34,155.08,156.25,300605
1729863300,156.29,156.85,156.24,156.74,152794
1729863600,156.73,157.62,156.59,157.35,151695
1729863900,157.39,157.84,157.22,157.49,87463
1729864200,157.5,157.84,157.15,157.52,61840
1729864500,157.5,158.1,157.43,157.89,102488
1729864800,157.93,158.65,157.93,158.57,125438
1729865100,158.55,158.72,158.2,158.68,78380
